complaint_id,text,category,department
APV-D4-087,The tap is supplying dirty water,additional_example,water
APV-D4-088,Our area needs regular water supply,additional_example,water
APV-D4-089,The main water pipeline is damaged,additional_example,water
APV-D4-090,Please restore water supply immediately,additional_example,water
APV-D4-081,Our locality has frequent power cuts,additional_example,electricity
APV-D4-082,The power supply stopped this morning,additional_example,electricity
APV-D4-083,The transformer needs urgent repair,additional_example,electricity
APV-D4-084,There is a faulty electricity connection,additional_example,electricity
APV-D4-085,Voltage is fluctuating frequently,additional_example,electricity
APV-D4-086,The electricity pole is damaged,additional_example,electricity
APV-D4-087,Power supply is unavailable at home,additional_example,electricity
APV-D4-088,The electricity line needs repair,additional_example,electricity
APV-D4-089,There is an outage in our street,additional_example,electricity
APV-D4-090,Please restore electricity service,additional_example,electricity
APV-D4-081,My land ownership record is incorrect,additional_example,revenue
APV-D4-082,I have an issue with property registration,additional_example,revenue
APV-D4-083,My land mutation request is pending,additional_example,revenue
APV-D4-084,The survey details in my land record are wrong,additional_example,revenue
APV-D4-085,I need to update property ownership,additional_example,revenue
APV-D4-086,My income certificate is delayed,additional_example,revenue
APV-D4-087,I need help with a land document,additional_example,revenue
APV-D4-088,There is an error in my property record,additional_example,revenue
APV-D4-089,My land boundary details are incorrect,additional_example,revenue
APV-D4-090,Please resolve my revenue record issue,additional_example,revenue
APV-D4-081,The government clinic needs medicines,additional_example,public_health
APV-D4-082,The public hospital has no available doctor,additional_example,public_health
APV-D4-083,Healthcare service at the clinic is poor,additional_example,public_health
APV-D4-084,The ambulance has been delayed,additional_example,public_health
APV-D4-085,The health centre is not providing medicines,additional_example,public_health
APV-D4-086,The government hospital service needs improvement,additional_example,public_health
APV-D4-087,The clinic is closed during working hours,additional_example,public_health
APV-D4-088,There is a problem with hospital staff,additional_example,public_health
APV-D4-089,Our health centre needs medical supplies,additional_example,public_health
APV-D4-090,Please resolve this public health service issue,additional_example,public_health
APV-D4-081,I want to report a theft,additional_example,police
APV-D4-082,Police assistance is needed in our area,additional_example,police
APV-D4-083,There is suspicious activity near my house,additional_example,police
APV-D4-084,Someone is threatening people in our street,additional_example,police
APV-D4-085,Please register my police complaint,additional_example,police
APV-D4-086,There is a law and order problem here,additional_example,police
APV-D4-087,A dispute needs police intervention,additional_example,police
APV-D4-088,There is a disturbance near the market,additional_example,police
APV-D4-089,We need help from the local police,additional_example,police
APV-D4-090,Please take action on this police complaint,additional_example,police
APV-D4-081,Garbage has not been collected from our street,additional_example,sanitation
APV-D4-082,The waste bin is overflowing,additional_example,sanitation
APV-D4-083,Open waste dumping is happening nearby,additional_example,sanitation
APV-D4-084,Household garbage collection is delayed,additional_example,sanitation
APV-D4-085,Our area needs solid waste cleaning,additional_example,sanitation
APV-D4-086,Garbage is scattered around the road,additional_example,sanitation
APV-D4-087,The waste collection vehicle is not arriving,additional_example,sanitation
APV-D4-088,Uncollected waste is creating a bad smell,additional_example,sanitation
APV-D4-089,Please arrange garbage collection,additional_example,sanitation
APV-D4-090,Solid waste is accumulating in our locality,additional_example,sanitation
